date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
12.02.2018;42.1;64.9;0.08;0;0;9.84;50;21.92;50;31.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
13.02.2018;37;44.1;0;0;0;8.72;50;17;50;21.92;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14.02.2018;37;57.9;0;0;0;6.49;220;14.99;210;25.05;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
15.02.2018;54;75;0;0;0;14.32;230;23.04;220;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16.02.2018;55.9;81;0.02;0;0;13.42;230;25.95;230;33.11;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
17.02.2018;39.9;55.9;0.06;0;0;6.93;90;19.91;80;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18.02.2018;39;61;0.02;0;0;5.14;130;14.09;110;21.03;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
19.02.2018;39.9;50;0.3;0;0;2.46;120;12.08;130;16.11;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20.02.2018;50;72;0;0;0;3.36;200;12.97;190;17;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
21.02.2018;63;77;0;0;0;8.95;230;21.03;230;23.94;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
22.02.2018;61;78.1;0;0;0;9.84;230;18.12;230;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23.02.2018;52;70;0;0;0;4.92;60;12.08;110;18.12;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
24.02.2018;57;78.1;0;0;0;11.18;220;23.04;220;27.07;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
25.02.2018;60.1;73;0;0;0;11.18;240;23.04;240;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
